kappa,lambda,mag
0.2875,0.0165,6.355557738853503
0.2625,0.0067,9.081881583129585
0.1125,0.0082,0.0019978039703654
0.0,0.012,0.0010919052406512
0.225,0.0218,4.403287832568807
0.125,0.012,0.9971662264516128
0.0625,0.0248,0.0010572279115227
0.0375,0.0255,0.000906696321168
0.0,0.0143,0.0010877442504803
0.2125,0.0233,4.006516555621654
0.125,0.0255,0.9977107151088348
0.0,0.0158,0.0011829092636548
0.2875,0.0045,12.059992844147969
0.075,0.015,0.0010103221186989
0.0125,0.0023,0.0009587037868453
0.2,0.0023,11.590134063869757
0.0125,0.0203,0.0009758725393057
0.1875,0.0045,7.520234395973155
0.1625,0.021,2.853236238003839
0.0375,0.0218,0.0010244182246168
0.175,0.0225,3.144361077586207
0.0125,0.0097,0.0009343200137747
0.125,0.0263,0.9974545781959766
0.2,0.0045,8.22590732730794
0.25,0.0203,5.068542601880878
0.0,0.0203,0.0010670697950718
0.1375,0.0165,2.00667839764552
0.125,0.0067,0.9971038645242596
0.1375,0.0173,1.9735500555898704
0.0125,0.0225,0.0009359813389196
0.05,0.0037,0.0009943134423448
0.0,0.009,0.00107048762258
0.0625,0.0233,0.0009693691434044
0.0625,0.015,0.001022938954054
0.2125,0.027,3.736485667433832
0.1375,0.0015,5.8591290903267135
0.2125,0.0135,5.188828574984443
0.05,0.012,0.0009496771623975
0.2375,0.0037,10.999922339763536
0.2125,0.0285,3.644040250875146
0.2625,0.0165,5.8593330831879
0.0625,0.0113,0.0009763857904947
0.1125,0.009,0.0023844467207648
0.0875,0.0165,0.0013559351059628
0.2,0.024,3.674003921921922
0.2375,0.0023,14.177394706632654
0.125,0.024,0.9978742418725616
0.2,0.0075,6.402986370416408
0.1125,0.024,0.0025741838655174
0.0125,0.0233,0.0010033623367462
0.0875,0.0045,0.0011910641023697
0.1375,0.0203,1.8616680174021127
0.2875,0.015,6.658244229390681
0.0875,0.021,0.0011886021861637
0.2875,0.006,10.456212110311752
0.15,0.0113,3.1442319844357973
0.2375,0.0143,5.70770090286426
0.15,0.0173,2.606679866666667
0.2,0.0203,3.976570877296977
0.15,0.018,2.559745665374677
0.15,0.0023,6.740997872892347
0.2,0.0037,8.999894289439375
0.1,0.0225,0.0015291082436125
0.0625,0.027,0.0010010093151115
0.2375,0.0188,4.999864394237066
0.075,0.0128,0.0009648567733292
0.05,0.0233,0.0010027962386207
0.075,0.0285,0.0011485706633815
0.225,0.009,6.741156348314607
0.1125,0.0105,0.0020606701606136
0.2,0.0008,20.02489150259068
0.2,0.021,3.9094526419910656
0.0625,0.0023,0.0008810730225981
0.225,0.0037,10.376199022602322
0.15,0.0082,3.621938800761421
0.1,0.0173,0.0015574948100844
0.1,0.0248,0.0014446594048273
0.0875,0.009,0.0011023721099993
0.1125,0.0263,0.0030301214037437
0.25,0.0225,4.818810398773006
0.1375,0.0143,2.122416070751737
0.2625,0.018,5.617294753363229
0.25,0.0097,7.230542201138519
0.175,0.0203,3.297627159297395
0.175,0.0285,2.8311439801864804
0.25,0.0263,4.477323638048178
0.2875,0.0173,6.219337844348362
0.25,0.0075,8.225894561178732
0.125,0.0195,0.997606023076923
0.05,0.0015,0.0009009787170578
0.0125,0.027,0.000969556449713
0.2,0.0285,3.3948439025856887
0.2875,0.009,8.556922207317074
0.1375,0.012,2.2723171706399
0.25,0.0023,14.940550673076922
0.2125,0.0052,8.225890301910043
0.125,0.0008,0.9507266882696046
0.0125,0.021,0.0010265463282509
0.2625,0.0233,4.965343073286052
0.2625,0.0105,7.306155012376238
0.125,0.015,0.9974271243455496
0.025,0.027,0.0009235543304036
0.25,0.012,6.531894262717322
0.0125,0.0037,0.0009624324184951
0.1375,0.0105,2.3997560757867697
0.075,0.0248,0.0010787196004587
0.0125,0.0263,0.0009413059760856
0.175,0.0045,6.741093380000001
0.2125,0.0067,7.26981421875
0.2,0.012,5.0988260815822
0.225,0.0105,6.252498176927674
0.225,0.0097,6.482580412371134
0.1625,0.0037,6.402875619684082
0.1625,0.0278,2.530433329326923
0.15,0.0097,3.354648292046936
0.1875,0.0158,4.107469371827412
0.1875,0.0015,12.948566710013004
0.1375,0.0285,1.658712667486171
0.0875,0.0233,0.0011331382086825
0.275,0.0023,16.360443873873876
0.075,0.0082,0.0010171286622088
0.175,0.0082,5.023987515451174
0.1875,0.0067,6.1672649411071845
0.1625,0.0075,4.582340749674055
0.2875,0.027,5.007307951247824
0.025,0.0233,0.0009419046740712
0.025,0.0203,0.0009221759185356
0.1,0.0135,0.0013408116312896
0.225,0.0113,6.04601085932527
0.0375,0.0293,0.0008885038305159
0.1125,0.003,0.0022981484967338
0.1375,0.0135,2.168086909436352
0.05,0.0255,0.0009052547391808
0.2625,0.027,4.622683419857236
0.1875,0.0143,4.306042511933175
0.2375,0.003,12.288133851897946
0.0375,0.0158,0.0009677841278972
0.1,0.0218,0.0016551735632214
0.1,0.0,0.0015110367570713
0.2875,0.0128,7.209674044073854
0.25,0.015,5.859350591751345
0.0875,0.0052,0.0012802432598134
0.25,0.0165,5.594815653533458
0.1,0.006,0.0014839499127141
0.0125,0.0143,0.0009218126633131
0.275,0.0255,4.95257095
0.1625,0.0105,3.90939372162485
0.0,0.0285,0.0011202815999538
0.125,0.0052,0.9965539064254522
0.275,0.0233,5.177395620131816
0.2125,0.0203,4.275798999414862
0.2375,0.0105,6.622384800965018
0.0,0.0218,0.001068038059741
0.05,0.006,0.0008788082853751
0.1875,0.027,3.202738017083587
0.2,0.0128,4.95256260815822
0.0625,0.0165,0.0009524352154308
0.075,0.0,0.0010623642154333
0.125,0.0278,0.9976829786239144
0.2125,0.0023,12.512159114583332
0.175,0.0,48.9355
0.0,0.0023,0.0010989306023549
0.1125,0.0037,0.0021166170348347
0.05,0.0067,0.0009078313230114
0.175,0.0255,2.973427009626956
0.2625,0.0075,8.621590876865671
0.3,0.0,29.2639
0.3,0.0008,30.56683140900196
0.2375,0.0,27.523
0.225,0.0,29.037
0.3,0.0165,6.589647204773869
0.3,0.0143,7.079670048929663
0.3,0.0075,9.712489704463207
0.3,0.006,10.847383189655174
0.3,0.0285,5.055753887530562
0.3,0.0105,8.225909936231885
0.3,0.0113,7.951189858635526
0.3,0.0225,5.666588154481133
0.125,0.0,3.141548823765886
0.3,0.0097,8.53194428662828
0.3,0.0278,5.120972489843297
0.3,0.0158,6.741189225352112
0.3,0.021,5.8593698750743615
0.3,0.0052,11.590184271725828
0.3,0.015,6.90403430120482
0.3,0.0082,9.26539070467649
0.3,0.0188,6.191335074349443
0.1625,0.0008,14.177374513496549
0.3,0.0045,12.51218024390244
0.3,0.0255,5.333836454767726
0.3,0.0233,5.577337834793491
0.3,0.0293,4.993087838334353
0.3,0.0195,6.074230519074421
0.3,0.024,5.4923298443337485
0.3,0.012,7.702715780856422
0.3,0.0248,5.411259884918231
0.3,0.0263,5.2598043089921545
0.3,0.003,15.307909982332156
0.3,0.0203,5.963796683168317
0.3,0.0037,13.69908546875
0.3,0.0173,6.448152922155689
0.3,0.0023,17.66660314285714
0.3,0.018,6.315688369942196
0.3,0.009,8.875623707865168
0.3,0.0015,21.625555729166667
0.3,0.0218,5.760471901323705
0.3,0.027,5.188944433374846
0.3,0.0067,10.232425405742822
0.275,0.0,21.6234289
0.3,0.0128,7.476702133507853
0.3,0.0135,7.269888417085427
0.1625,0.0,63.4672
